participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,108.81023363069154,"[0.5115770372906597, 0.7715130192785568]",[0.67360108 0.47334841],221.62046726138308,228.66338909710757
2,87.67856481022962,"[1.508351727524613, 0.7159140992647115]",[0.80049345 0.72613026],179.35712962045923,186.40005145618372
3,138.36508431932722,"[0.3901704874489434, 0.37116738951588385]",[0.29791819 0.85532685],280.73016863865445,287.77309047437893
4,173.0953969003113,"[4.277232642677366, 0.18210212695850786]",[0.03467443 0.52983021],350.1907938006226,357.2337156363471
5,172.46805432468187,"[2.9758479568484932, 0.14987748863020373]",[0.06339405 0.49915056],348.93610864936375,355.97903048508823
6,168.35968153917347,"[0.9506479563232217, 0.7368493697544907]",[1.41006215 0.00399342],340.71936307834693,347.7622849140714
7,144.73303127330712,"[3.1122786021348556, 0.524284866357497]",[4.99990000e+00 1.20505997e-04],293.46606254661424,300.5089843823387
8,150.73436106479843,"[4.382556988831164, 0.748645833104745]",[0.56922301 0.05892851],305.46872212959687,312.51164396532135
9,171.46054343167037,"[4.482537766633454, 0.09789621383296941]",[0.13736244 0.65069272],346.92108686334075,353.96400869906523
10,166.29512929871572,"[2.407242719889845, 0.6056287820615903]",[0.25333273 0.29595727],336.59025859743144,343.6331804331559
11,164.0742826107393,"[0.005874770304657016, 0.6447785408578061]",[0.20809656 0.93427553],332.1485652214786,339.19148705720306
12,122.87532327532975,"[1.6079593644885366, 0.6242560954168546]",[4.99990000e+00 2.25107101e-04],249.7506465506595,256.793568386384
13,83.0878423589413,"[3.2004394982225763, 0.9036142597879586]",[1.8428698  0.00692588],170.1756847178826,177.2186065536071
14,134.56140095035352,"[3.525462297593803, 0.18447530655596267]",[0.71832129 0.07430549],273.12280190070703,280.1657237364315
15,94.3254687580086,"[0.07194718684021774, 0.5801121376152962]",[0.82557874 0.3294041 ],192.6509375160172,199.69385935174168
16,173.17615520179857,"[3.0126929931816977, 0.31815856923026514]",[2.77167573e+00 1.00000000e-04],350.35231040359713,357.3952322393216
17,125.97395927803022,"[2.238101750981371, 0.4957177137345012]",[0.46465145 0.79157229],255.94791855606044,262.99084039178496
18,153.39543979391865,"[4.785344767111829, 0.18398430332511995]",[0.32894948 0.9999    ],310.7908795878373,317.8338014235618
19,159.06069944731817,"[4.1393284541109985, 0.8117619107458832]",[4.69798991e+00 1.00000000e-04],322.12139889463634,329.1643207303608
20,164.85069527962992,"[3.8989384124391533, 0.740940168007583]",[0.26026728 0.5052269 ],333.70139055925983,340.7443123949843
21,104.80871972602641,"[4.031265744749801, 0.03144700987063113]",[1.16183735 0.0407043 ],213.61743945205282,220.6603612877773
22,120.4974581351619,"[2.9189171680440116, 0.8663081486480011]",[1.33546685 0.01962919],244.9949162703238,252.0378381060483
23,170.0518918550303,"[0.8982279681829866, 0.746959117116303]",[4.67862381e+00 1.00000000e-04],344.1037837100606,351.1467055457851
24,171.20043092412976,"[1.6145700764827653, 0.23494436996047122]",[0.18258598 0.57486929],346.4008618482595,353.443783683984
25,144.34889050819413,"[3.0352139939366185, 0.4850675811293879]",[0.36477847 0.9999    ],292.69778101638826,299.74070285211275
26,168.76739154294265,"[4.525451532437333, 0.02782087676852626]",[4.17952076e+00 1.00000000e-04],341.5347830858853,348.5777049216098
27,135.42641822337995,"[0.7505490904798785, 0.4624196410190621]",[0.76600696 0.1147951 ],274.8528364467599,281.8957582824844
28,155.66343277282667,"[3.059849224924965, 0.4595178043499169]",[0.42334043 0.33533387],315.32686554565333,322.3697873813778
29,86.52343053915595,"[1.6689496318755, 0.782350179023333]",[1.14293464 0.04074701],177.0468610783119,184.0897829140364
30,108.33911191109691,"[2.6546018902120703, 0.22437080489771424]",[1.81347227 0.01053602],220.67822382219381,227.7211456579183
31,146.5379661983968,"[0.32341900434077836, 0.43406358372956233]",[4.90011028e+00 1.00000000e-04],297.0759323967936,304.11885423251806
32,155.37405077876477,"[1.1496974976278747, 0.5544801178575287]",[0.24606414 0.98539578],314.74810155752954,321.791023393254
33,85.33530304890145,"[2.01524727244144, 0.4842505435959991]",[4.99990000e+00 1.09289595e-03],174.6706060978029,181.7135279335274
34,171.87248858861037,"[0.9429357180175357, 0.11212482139730277]",[4.34729354e+00 1.00000000e-04],347.74497717722073,354.7878990129452
35,169.5403035224039,"[0.9004650356617072, 0.3633270268888497]",[0.18170901 0.72522743],343.0806070448078,350.12352888053226
36,171.27264234677858,"[3.862853574819255, 0.05449305823704589]",[0.09737577 0.9999    ],346.54528469355716,353.58820652928165
37,78.11739623708286,"[2.970968865377983, 0.28090088245725425]",[1.25748463 0.0766083 ],160.23479247416572,167.2777143098902
38,82.68852214227739,"[2.0381133477394417, 0.3438482629423897]",[2.13178029 0.0057793 ],169.37704428455478,176.41996612027927
39,170.46141900782794,"[0.27128685645800765, 0.5773387535648069]",[0.08797759 0.931798  ],344.9228380156559,351.96575985138037
40,172.57448520728798,"[1.321886558779563, 0.7598091668599336]",[3.76262044e+00 1.00000000e-04],349.14897041457596,356.19189225030044
41,153.07437629650704,"[0.5360905128071012, 0.9350861977777057]",[4.99990000e+00 1.09824096e-04],310.1487525930141,317.19167442873857
42,159.49623928745956,"[3.1352319680693266, 0.2639338983532413]",[0.38607459 0.1783368 ],322.9924785749191,330.0354004106436
43,131.81779931231608,"[3.5044961242693393, 0.41452784404304754]",[4.99990000e+00 1.27880856e-04],267.63559862463217,274.67852046035665
44,72.6712186995159,"[3.292141180358707, 0.7962002345779698]",[0.87432825 0.52191909],149.3424373990318,156.3853592347563
45,157.85984544792242,"[0.8158084024029015, 0.3179846532646177]",[1.23136779 0.02110822],319.71969089584485,326.76261273156933
